Sequela,Health state name,Health state lay description,disability weight,lower,uppper
Diagnosis and primary therapy phase of testicular cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Controlled phase of testicular cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Diagnosis and primary therapy phase of kidney cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of kidney cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of kidney cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of kidney cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Controlled phase of bladder cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Urinary incontinence due to bladder cancer,Incontinence and generic medication,(combined DW),0.181,0.124,0.248
Terminal phase of bladder cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of bladder cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of bladder cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of brain and nervous system cancers,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of brain and nervous system cancers,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Metastatic phase of brain and nervous system cancers,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Controlled phase of brain and nervous system cancers,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Terminal phase of thyroid cancer,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of thyroid cancer,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of thyroid cancer,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of thyroid cancer,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of mesothelioma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of mesothelioma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Diagnosis and primary therapy phase of mesothelioma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of mesothelioma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Controlled phase of Hodgkin disease,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Metastatic phase of Hodgkin disease,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Diagnosis and primary therapy phase of Hodgkin disease,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of Hodgkin disease,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Metastatic phase of non-Hodgkin lymphoma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of non-Hodgkin lymphoma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Controlled phase of non-Hodgkin lymphoma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Diagnosis and primary therapy phase of non-Hodgkin lymphoma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Terminal phase of multiple myeloma,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of multiple myeloma,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of multiple myeloma,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Controlled phase of multiple myeloma,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Controlled phase of acute lymphoid leukemia,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Diagnosis and primary therapy phase of acute lymphoid leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Metastatic phase of acute lymphoid leukemia,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of acute lymphoid leukemia,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Metastatic phase of chronic lymphoid leukemia,"Cancer, metastatic","has severe pain, extreme fatigue, weight loss and high anxiety.",0.451,0.307,0.6
Terminal phase of chronic lymphoid leukemia,"Terminal phase, with medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and regularly uses strong medication to avoid constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.54,0.377,0.687
Diagnosis and primary therapy phase of chronic lymphoid leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
Controlled phase of chronic lymphoid leukemia,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
Diagnosis and primary therapy phase of acute myeloid leukemia,"Cancer, diagnosis and primary therapy ","has pain, nausea, fatigue, weight loss and high anxiety.",0.288,0.193,0.399
